ordernumber,orderdate,requireddate,shippeddate,status,comments,customernumber
10100,1/6/03 0:00,1/13/03 0:00,1/10/03 0:00,Shipped,NULL,363
10101,1/9/03 0:00,1/18/03 0:00,1/11/03 0:00,Shipped,Check on availability.,128
10102,1/10/03 0:00,1/18/03 0:00,1/14/03 0:00,Shipped,NULL,181
10103,1/29/03 0:00,2/7/03 0:00,2/2/03 0:00,Shipped,NULL,121
10104,1/31/03 0:00,2/9/03 0:00,2/1/03 0:00,Shipped,NULL,141
10105,2/11/03 0:00,2/21/03 0:00,2/12/03 0:00,Shipped,NULL,145
10106,2/17/03 0:00,2/24/03 0:00,2/21/03 0:00,Shipped,NULL,278
10107,2/24/03 0:00,3/3/03 0:00,2/26/03 0:00,Shipped,Difficult to negotiate with customer. We need more marketing materials,131
10108,3/3/03 0:00,3/12/03 0:00,3/8/03 0:00,Shipped,NULL,385
10109,3/10/03 0:00,3/19/03 0:00,3/11/03 0:00,Shipped,Customer requested that FedEx Ground is used for this shipping,486
10110,3/18/03 0:00,3/24/03 0:00,3/20/03 0:00,Shipped,NULL,187
10111,3/25/03 0:00,3/31/03 0:00,3/30/03 0:00,Shipped,NULL,129
10112,3/24/03 0:00,4/3/03 0:00,3/29/03 0:00,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,3/26/03 0:00,4/2/03 0:00,3/27/03 0:00,Shipped,NULL,124
10114,4/1/03 0:00,4/7/03 0:00,4/2/03 0:00,Shipped,NULL,172
10115,4/4/03 0:00,4/12/03 0:00,4/7/03 0:00,Shipped,NULL,424
10116,4/11/03 0:00,4/19/03 0:00,4/13/03 0:00,Shipped,NULL,381
10117,4/16/03 0:00,4/24/03 0:00,4/17/03 0:00,Shipped,NULL,148
10118,4/21/03 0:00,4/29/03 0:00,4/26/03 0:00,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,216
10119,4/28/03 0:00,5/5/03 0:00,5/2/03 0:00,Shipped,NULL,382
10120,4/29/03 0:00,5/8/03 0:00,5/1/03 0:00,Shipped,NULL,114
10121,5/7/03 0:00,5/13/03 0:00,5/13/03 0:00,Shipped,NULL,353
10122,5/8/03 0:00,5/16/03 0:00,5/13/03 0:00,Shipped,NULL,350
10123,5/20/03 0:00,5/29/03 0:00,5/22/03 0:00,Shipped,NULL,103
