customernumber,checknumber,paymentdate,amount
103,HQ336336,10/19/04 0:00,5307.98
103,JM555205,6/5/03 0:00,16560.3
103,OM314933,12/18/04 0:00,2311.68
112,BO864823,12/17/04 0:00,14449.61
112,HQ55022,6/6/03 0:00,33847.62
112,ND748579,8/20/04 0:00,34453.85
114,GG31455,5/20/03 0:00,50397.66
114,MA765515,12/15/04 0:00,85591.32
114,NP603840,5/31/03 0:00,9738.18
114,NR27552,3/10/04 0:00,49637.57
119,DB933704,11/14/04 0:00,20719.91
119,LN373447,8/8/04 0:00,56002.9
119,NG94694,2/22/05 0:00,59617.44
121,DB889831,2/16/03 0:00,54702
121,FD317790,10/28/03 0:00,1474.66
121,KI831359,11/4/04 0:00,19769.68
121,MA302151,11/28/04 0:00,40652.85
124,AE215433,2/18/05 0:00,51826.36
124,AQ50522,6/3/05 0:00,32194.79
124,BG255406,8/28/04 0:00,93928.73
124,CQ287967,4/11/03 0:00,12398.56
124,ET64396,4/16/05 0:00,121972.78
124,HI366474,12/27/04 0:00,50547.68
124,HR86578,11/2/04 0:00,63075.06
124,KI131716,8/15/03 0:00,122368.67
124,LF217299,3/26/04 0:00,48922.77
124,NT141748,11/25/03 0:00,50360.89
128,DI925118,1/28/03 0:00,11432.34
128,FA465482,10/18/03 0:00,27257.79
128,FH668230,3/24/04 0:00,37266.49
128,IP383901,11/18/04 0:00,9214.97
129,DM826140,12/8/04 0:00,30348.72
129,ID449593,12/11/03 0:00,25431.88
129,PI42991,4/9/03 0:00,18695.58
131,CL442705,3/12/03 0:00,25783.76
131,KG113538,5/22/04 0:00,45357.66
131,MA724562,12/2/04 0:00,53152.28
131,NB445135,9/11/04 0:00,39775.74
141,AU364101,7/19/03 0:00,39615.82
141,DB583216,11/1/04 0:00,34872.13
141,DL460618,5/19/05 0:00,22353.86
141,HJ32686,1/30/04 0:00,65165.17
141,ID10962,12/31/04 0:00,133588.75
141,IN446258,3/25/05 0:00,95065.46
141,JE105477,3/18/05 0:00,90135.87
141,JN355280,10/26/03 0:00,53502.3
141,JN722010,2/25/03 0:00,44621.96
141,KT52578,12/9/03 0:00,72487.5
141,MC46946,7/9/04 0:00,91328.4
141,MF629602,8/16/04 0:00,21986.27
141,NU627706,5/17/04 0:00,28327.64
144,IR846303,12/12/04 0:00,66005.88
144,LA685678,4/9/03 0:00,9749
145,CN328545,7/3/04 0:00,4749.45
145,ED39322,4/26/04 0:00,31329.56
145,HR182688,12/1/04 0:00,24078.61
145,JJ246391,2/20/03 0:00,58871.11
146,FP549817,3/18/04 0:00,46802.27
146,FU793410,1/16/04 0:00,54536.87
146,LJ160635,12/10/03 0:00,41535.11
148,BI507030,4/22/03 0:00,43657.47
148,DD635282,8/11/04 0:00,3127.88
148,KM172879,12/26/03 0:00,122028.73
148,ME497970,3/27/05 0:00,4175.6
151,BF686658,12/22/03 0:00,64316.09
151,GB852215,7/26/04 0:00,23252.18
151,IP568906,6/18/03 0:00,68462.15
151,KI884577,12/14/04 0:00,41706.52
